Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",8.1,(+/-5.0),6.2,(+/-5.2),7.2,(+/-5.4),9.7,(+/-7.5),0.3,(+/-0.5),13.4,(+/-9.4),2.4,(+/-2.6),2.9,(+/-2.9),3.2,(+/-3.2),6.6,(+/-4.6),5.0,(+/-6.0),2.2,(+/-2.2),3.8,(+/-4.5),4.0,(+/-3.2),2.1,(+/-2.5),4.6,(+/-5.4),8.9,(+/-8.0),1.4,(+/-1.8),4.0,(+/-5.2),9.2,(+/-9.1),1.5,(+/-1.8),5.5,(+/-4.4),0.4,(+/-0.7),7.8,(+/-5.1),5.8,(+/-5.0),7.5,(+/-5.7),3.8,(+/-2.9),2.0,(+/-1.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",19.6,(+/-3.5),28.9,(+/-4.7),27.2,(+/-5.8),20.6,(+/-3.9),22.0,(+/-5.6),24.5,(+/-4.0),16.1,(+/-4.1),21.0,(+/-3.8),16.6,(+/-4.3),18.6,(+/-4.0),18.8,(+/-5.3),17.5,(+/-3.4),13.6,(+/-3.5),18.2,(+/-4.3),26.3,(+/-4.6),12.3,(+/-4.0),14.1,(+/-3.7),22.6,(+/-4.5),14.8,(+/-4.1),21.5,(+/-3.6),17.4,(+/-5.1),18.8,(+/-3.9),15.2,(+/-5.1),22.9,(+/-3.5),14.3,(+/-4.4),21.2,(+/-3.5),15.7,(+/-3.7),17.3,(+/-3.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",24.1,(+/-5.4),38.9,(+/-7.2),38.2,(+/-9.5),28.8,(+/-6.1),29.9,(+/-7.8),36.7,(+/-6.6),27.4,(+/-7.6),29.9,(+/-6.9),24.8,(+/-7.5),24.2,(+/-5.9),28.3,(+/-9.2),26.3,(+/-6.1),17.4,(+/-5.2),29.1,(+/-7.3),35.5,(+/-7.1),16.0,(+/-6.4),23.3,(+/-7.1),31.1,(+/-7.0),23.5,(+/-7.3),29.3,(+/-5.0),22.1,(+/-8.4),32.9,(+/-7.2),22.4,(+/-7.7),28.5,(+/-5.8),22.2,(+/-7.3),30.6,(+/-5.7),28.9,(+/-7.2),28.5,(+/-6.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",23.7,(+/-15.0),48.9,(+/-18.2),59.3,(+/-24.5),17.5,(+/-10.3),22.9,(+/-20.3),52.7,(+/-17.0),37.5,(+/-16.6),49.8,(+/-20.2),30.3,(+/-22.7),18.7,(+/-14.5),35.1,(+/-20.5),28.5,(+/-18.4),13.4,(+/-13.5),38.9,(+/-22.4),15.1,(+/-11.4),26.4,(+/-21.5),42.2,(+/-22.4),47.8,(+/-21.7),24.6,(+/-20.9),45.5,(+/-14.7),10.9,(+/-12.3),56.1,(+/-20.0),20.9,(+/-13.9),53.9,(+/-15.1),15.6,(+/-17.7),36.5,(+/-13.8),11.4,(+/-11.4),16.9,(+/-11.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",10.4,(+/-1.2),16.1,(+/-1.3),16.6,(+/-1.5),13.6,(+/-1.4),10.2,(+/-1.1),14.4,(+/-1.1),8.8,(+/-1.0),10.7,(+/-1.2),10.9,(+/-1.4),14.4,(+/-1.4),9.4,(+/-1.2),12.3,(+/-1.1),10.9,(+/-1.1),13.1,(+/-1.3),15.0,(+/-1.3),9.8,(+/-1.1),10.0,(+/-1.1),14.5,(+/-1.5),11.9,(+/-1.4),15.2,(+/-1.6),9.6,(+/-1.1),11.9,(+/-1.4),9.8,(+/-1.1),15.6,(+/-1.4),12.3,(+/-1.7),13.7,(+/-1.3),13.5,(+/-1.1),11.5,(+/-1.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",13.6,(+/-2.6),19.1,(+/-3.4),18.5,(+/-3.5),17.4,(+/-3.1),12.6,(+/-2.5),24.1,(+/-3.7),11.2,(+/-2.7),16.6,(+/-3.7),13.1,(+/-3.1),17.1,(+/-3.9),11.4,(+/-2.6),13.6,(+/-3.0),15.5,(+/-4.0),15.1,(+/-3.4),17.8,(+/-3.3),10.7,(+/-2.6),14.4,(+/-3.5),19.7,(+/-3.9),18.4,(+/-4.4),21.6,(+/-3.9),9.5,(+/-2.1),18.0,(+/-4.3),9.8,(+/-3.0),18.9,(+/-3.3),15.4,(+/-3.8),18.5,(+/-2.8),14.1,(+/-2.5),15.0,(+/-3.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",13.3,(+/-2.6),18.5,(+/-3.4),18.1,(+/-3.4),17.1,(+/-3.1),12.0,(+/-2.6),23.8,(+/-3.7),10.9,(+/-2.7),16.4,(+/-3.7),12.9,(+/-3.1),16.9,(+/-3.9),11.1,(+/-2.6),13.3,(+/-3.0),15.1,(+/-4.0),14.8,(+/-3.4),17.7,(+/-3.4),10.6,(+/-2.6),14.1,(+/-3.5),19.6,(+/-3.9),18.1,(+/-4.4),21.2,(+/-3.9),9.3,(+/-2.1),17.5,(+/-4.2),9.2,(+/-2.9),18.8,(+/-3.3),15.3,(+/-3.8),18.2,(+/-2.8),13.9,(+/-2.4),14.8,(+/-3.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",14.9,(+/-4.8),21.7,(+/-5.3),18.6,(+/-5.0),19.6,(+/-5.6),11.5,(+/-5.4),28.4,(+/-6.0),11.9,(+/-5.0),20.0,(+/-6.3),14.0,(+/-5.0),18.1,(+/-6.1),12.5,(+/-4.3),15.1,(+/-4.9),13.3,(+/-5.9),15.5,(+/-5.8),16.6,(+/-5.1),11.5,(+/-3.8),17.1,(+/-6.5),16.6,(+/-5.3),19.7,(+/-6.4),27.5,(+/-6.6),10.6,(+/-3.6),23.8,(+/-6.9),5.5,(+/-3.1),21.0,(+/-5.2),16.7,(+/-5.6),19.4,(+/-4.4),12.2,(+/-5.2),14.5,(+/-5.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",12.8,(+/-2.6),17.4,(+/-3.5),17.9,(+/-3.9),16.2,(+/-3.2),12.2,(+/-2.9),22.4,(+/-4.1),10.6,(+/-2.9),15.2,(+/-3.9),12.5,(+/-3.3),16.5,(+/-4.4),10.7,(+/-2.7),12.8,(+/-3.4),15.8,(+/-4.4),14.5,(+/-3.8),18.1,(+/-3.8),10.3,(+/-3.0),13.2,(+/-3.7),20.6,(+/-4.2),17.6,(+/-4.6),18.9,(+/-4.0),8.8,(+/-2.0),15.3,(+/-4.1),10.6,(+/-3.7),18.0,(+/-3.4),14.9,(+/-4.0),17.7,(+/-3.2),14.5,(+/-2.5),14.9,(+/-3.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",9.5,(+/-1.0),15.3,(+/-1.0),16.1,(+/-1.3),12.5,(+/-1.2),9.6,(+/-0.9),12.2,(+/-0.8),8.3,(+/-0.8),9.4,(+/-0.9),10.3,(+/-1.3),13.6,(+/-1.1),8.9,(+/-1.0),12.0,(+/-1.0),10.1,(+/-0.9),12.7,(+/-1.1),14.2,(+/-1.1),9.6,(+/-1.0),9.3,(+/-0.8),13.1,(+/-1.1),10.8,(+/-1.1),13.4,(+/-1.3),9.6,(+/-1.1),10.6,(+/-1.0),9.8,(+/-1.0),14.7,(+/-1.1),11.5,(+/-1.6),12.6,(+/-1.1),13.4,(+/-1.0),10.6,(+/-1.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",8.7,(+/-1.3),13.6,(+/-1.7),11.5,(+/-1.4),12.5,(+/-1.5),10.4,(+/-1.7),10.5,(+/-1.2),7.6,(+/-1.4),8.2,(+/-1.1),12.9,(+/-2.5),15.3,(+/-2.7),8.4,(+/-1.4),12.4,(+/-1.6),10.7,(+/-1.3),17.1,(+/-2.0),15.2,(+/-2.3),9.7,(+/-1.1),8.7,(+/-1.0),13.0,(+/-1.7),8.7,(+/-0.9),18.8,(+/-2.7),9.0,(+/-1.3),11.0,(+/-1.4),12.7,(+/-1.6),20.5,(+/-2.2),17.0,(+/-2.3),16.4,(+/-1.8),20.5,(+/-2.1),14.6,(+/-2.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",7.9,(+/-1.2),11.3,(+/-1.4),11.7,(+/-1.8),10.3,(+/-1.5),7.8,(+/-1.3),11.6,(+/-1.4),6.0,(+/-1.2),8.4,(+/-1.3),8.8,(+/-1.4),10.3,(+/-1.8),7.2,(+/-1.3),8.9,(+/-1.4),7.8,(+/-1.5),9.1,(+/-1.7),11.4,(+/-1.5),6.7,(+/-1.3),7.6,(+/-1.3),11.7,(+/-1.8),8.9,(+/-1.6),12.9,(+/-1.9),6.4,(+/-1.1),9.1,(+/-1.8),6.5,(+/-1.3),13.2,(+/-1.6),9.8,(+/-2.1),10.8,(+/-1.5),9.4,(+/-1.3),8.7,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",21.0,(+/-2.2),30.3,(+/-2.1),31.4,(+/-2.6),27.4,(+/-3.0),19.5,(+/-2.3),24.2,(+/-2.0),20.1,(+/-2.2),19.4,(+/-2.0),21.8,(+/-3.1),26.4,(+/-2.5),20.2,(+/-2.7),26.2,(+/-2.3),19.1,(+/-1.8),23.5,(+/-1.9),30.2,(+/-2.3),23.3,(+/-2.5),19.3,(+/-1.9),26.7,(+/-2.5),22.0,(+/-2.6),24.8,(+/-2.2),21.6,(+/-2.0),22.8,(+/-2.0),20.0,(+/-2.1),25.3,(+/-2.2),25.9,(+/-2.6),28.9,(+/-2.6),28.4,(+/-1.9),27.6,(+/-2.6)
Education,"School Enrollment","Population 3 years and over enrolled in school","188,534","(+/-4,849)","199,410","(+/-5,342)","194,613","(+/-6,759)","185,025","(+/-7,989)","194,322","(+/-9,175)","166,333","(+/-8,178)","177,913","(+/-5,768)","158,644","(+/-4,838)","209,440","(+/-12,187)","213,032","(+/-8,465)","165,900","(+/-10,857)","158,789","(+/-5,965)","129,648","(+/-6,019)","165,212","(+/-9,818)","215,201","(+/-11,533)","186,793","(+/-8,637)","132,618","(+/-5,695)","191,277","(+/-7,944)","131,627","(+/-6,279)","187,674","(+/-9,039)","151,259","(+/-5,975)","153,151","(+/-7,647)","167,278","(+/-8,731)","191,603","(+/-7,606)","191,093","(+/-8,714)","162,365","(+/-7,150)","162,730","(+/-7,878)","184,712","(+/-9,821)"
Education,"School Enrollment","Nursery school, preschool","10,327","(+/-1,920)","12,326","(+/-2,366)","10,562","(+/-2,213)","7,836","(+/-1,842)","12,068","(+/-2,251)","9,652","(+/-2,186)","8,424","(+/-1,975)","11,581","(+/-2,072)","16,266","(+/-3,666)","13,341","(+/-2,801)","9,954","(+/-1,922)","8,139","(+/-1,873)","7,558","(+/-1,618)","11,237","(+/-2,074)","13,724","(+/-3,002)","13,796","(+/-2,744)","6,466","(+/-1,635)","10,055","(+/-2,327)","6,165","(+/-1,628)","10,886","(+/-2,402)","9,697","(+/-2,190)","8,920","(+/-1,915)","12,665","(+/-2,740)","13,738","(+/-2,674)","10,069","(+/-2,071)","12,092","(+/-2,487)","12,988","(+/-2,128)","12,381","(+/-2,727)"
Education,"School Enrollment",Kindergarten,"9,561","(+/-1,764)","7,511","(+/-1,354)","7,219","(+/-2,396)","13,764","(+/-2,278)","12,714","(+/-2,778)","8,910","(+/-1,904)","7,036","(+/-1,668)","6,421","(+/-1,712)","10,158","(+/-2,785)","6,133","(+/-2,073)","7,487","(+/-2,206)","7,926","(+/-2,140)","6,311","(+/-1,680)","7,619","(+/-1,870)","10,607","(+/-2,269)","10,010","(+/-2,667)","5,659","(+/-1,385)","8,377","(+/-1,772)","7,154","(+/-1,705)","14,100","(+/-2,948)","11,008","(+/-2,064)","7,935","(+/-1,918)","12,204","(+/-2,834)","11,662","(+/-2,711)","8,043","(+/-1,977)","7,171","(+/-1,358)","9,267","(+/-1,897)","12,481","(+/-2,582)"
Education,"School Enrollment","Elementary school (grades 1-8)","77,242","(+/-2,993)","68,314","(+/-2,922)","65,743","(+/-3,935)","80,095","(+/-4,851)","81,026","(+/-5,916)","66,369","(+/-4,316)","72,994","(+/-3,139)","63,748","(+/-2,582)","82,791","(+/-5,251)","69,434","(+/-5,587)","74,751","(+/-5,691)","69,935","(+/-3,947)","48,588","(+/-3,268)","63,560","(+/-5,869)","88,391","(+/-8,125)","83,091","(+/-5,440)","60,321","(+/-3,685)","81,736","(+/-5,662)","50,750","(+/-4,264)","75,298","(+/-6,114)","59,366","(+/-3,217)","65,415","(+/-4,323)","65,182","(+/-6,825)","80,374","(+/-4,653)","73,840","(+/-6,466)","63,695","(+/-4,195)","57,508","(+/-5,030)","68,453","(+/-5,248)"
Education,"School Enrollment","High school (grades 9-12)","41,684","(+/-2,713)","36,343","(+/-2,216)","38,882","(+/-3,424)","42,249","(+/-3,443)","40,566","(+/-3,189)","34,168","(+/-3,674)","38,879","(+/-2,879)","36,792","(+/-2,857)","42,300","(+/-4,665)","35,917","(+/-3,650)","39,251","(+/-4,407)","35,951","(+/-3,276)","29,460","(+/-2,502)","32,057","(+/-3,620)","42,300","(+/-3,220)","38,783","(+/-2,950)","29,389","(+/-2,689)","45,949","(+/-3,645)","30,079","(+/-2,395)","39,840","(+/-3,194)","37,262","(+/-2,932)","32,072","(+/-3,621)","31,741","(+/-3,981)","42,729","(+/-3,748)","40,857","(+/-4,270)","37,805","(+/-3,084)","30,581","(+/-3,518)","39,148","(+/-3,331)"
Education,"School Enrollment","College or graduate school","49,720","(+/-4,296)","74,916","(+/-4,060)","72,207","(+/-4,817)","41,081","(+/-4,991)","47,948","(+/-5,738)","47,234","(+/-4,725)","50,580","(+/-4,475)","40,102","(+/-3,575)","57,925","(+/-7,173)","88,207","(+/-5,935)","34,457","(+/-4,307)","36,838","(+/-3,443)","37,731","(+/-3,551)","50,739","(+/-4,377)","60,179","(+/-5,535)","41,113","(+/-4,580)","30,783","(+/-3,492)","45,160","(+/-3,862)","37,479","(+/-3,478)","47,550","(+/-4,827)","33,926","(+/-4,384)","38,809","(+/-4,784)","45,486","(+/-5,437)","43,100","(+/-3,913)","58,284","(+/-5,855)","41,602","(+/-3,626)","52,386","(+/-4,540)","52,249","(+/-4,315)"
Education,"Educational Attainment","Population 25 years and over","557,694","(+/-3,664)","546,718","(+/-3,907)","562,399","(+/-7,817)","564,554","(+/-9,139)","586,539","(+/-9,273)","609,005","(+/-10,147)","586,645","(+/-5,225)","619,593","(+/-1,261)","586,407","(+/-13,702)","525,490","(+/-14,760)","635,881","(+/-12,203)","634,177","(+/-5,837)","607,691","(+/-6,332)","580,551","(+/-14,969)","555,496","(+/-15,209)","618,103","(+/-11,948)","671,157","(+/-6,271)","600,163","(+/-8,342)","639,731","(+/-9,123)","563,616","(+/-12,652)","621,304","(+/-8,060)","580,400","(+/-10,095)","578,298","(+/-14,116)","539,897","(+/-12,062)","554,858","(+/-9,080)","597,831","(+/-12,052)","557,990","(+/-13,042)","539,682","(+/-12,021)"
Education,"Educational Attainment","Less than 9th grade","17,065","(+/-3,273)","16,052","(+/-2,183)","19,937","(+/-2,862)","15,501","(+/-3,267)","12,707","(+/-2,806)","18,348","(+/-2,822)","16,383","(+/-3,055)","14,810","(+/-2,081)","18,341","(+/-2,952)","23,526","(+/-4,396)","15,852","(+/-2,485)","14,717","(+/-2,273)","15,702","(+/-2,530)","24,270","(+/-3,551)","23,246","(+/-3,030)","21,741","(+/-3,327)","20,646","(+/-3,501)","39,547","(+/-4,720)","21,874","(+/-4,511)","38,600","(+/-4,392)","25,955","(+/-4,443)","38,544","(+/-4,973)","20,841","(+/-3,454)","35,643","(+/-4,236)","18,780","(+/-3,026)","53,046","(+/-4,959)","36,469","(+/-3,951)","39,209","(+/-4,232)"
Education,"Educational Attainment","9th to 12th grade, no diploma","27,758","(+/-3,682)","40,430","(+/-3,473)","38,947","(+/-3,315)","34,587","(+/-4,083)","19,734","(+/-3,573)","35,215","(+/-3,980)","23,655","(+/-2,999)","25,191","(+/-3,242)","32,304","(+/-4,707)","29,514","(+/-3,292)","31,604","(+/-3,886)","42,045","(+/-4,266)","29,376","(+/-3,331)","30,318","(+/-4,153)","34,921","(+/-4,287)","33,300","(+/-4,925)","29,834","(+/-3,278)","47,377","(+/-4,541)","24,995","(+/-2,819)","45,264","(+/-5,260)","24,756","(+/-3,161)","29,120","(+/-3,542)","21,569","(+/-3,083)","35,395","(+/-4,108)","21,972","(+/-3,282)","51,474","(+/-5,159)","37,682","(+/-4,205)","45,819","(+/-3,921)"
Education,"Educational Attainment","High school graduate (includes equivalency)","141,550","(+/-7,406)","161,582","(+/-6,081)","166,622","(+/-7,444)","171,095","(+/-9,697)","116,561","(+/-7,512)","195,762","(+/-7,574)","144,151","(+/-8,075)","175,522","(+/-8,139)","143,540","(+/-9,506)","134,045","(+/-8,686)","162,577","(+/-9,042)","229,609","(+/-7,392)","162,394","(+/-7,321)","143,075","(+/-9,514)","146,859","(+/-7,470)","147,359","(+/-6,707)","192,103","(+/-7,988)","194,009","(+/-8,964)","167,111","(+/-8,782)","180,910","(+/-8,805)","159,752","(+/-7,228)","132,895","(+/-7,124)","121,018","(+/-7,816)","149,378","(+/-7,710)","132,398","(+/-7,557)","167,011","(+/-8,258)","112,751","(+/-6,635)","152,518","(+/-7,991)"
Education,"Educational Attainment","Some college, no degree","123,607","(+/-6,295)","106,127","(+/-5,644)","112,133","(+/-6,756)","118,574","(+/-7,755)","105,315","(+/-6,831)","127,815","(+/-6,096)","122,270","(+/-6,171)","130,549","(+/-7,163)","115,739","(+/-8,991)","86,212","(+/-5,919)","117,312","(+/-7,396)","131,914","(+/-5,917)","123,111","(+/-5,758)","94,768","(+/-5,667)","107,581","(+/-6,986)","114,835","(+/-7,620)","130,246","(+/-5,900)","121,141","(+/-6,370)","117,855","(+/-5,802)","97,248","(+/-7,009)","115,840","(+/-7,063)","96,298","(+/-6,991)","105,562","(+/-6,263)","82,145","(+/-6,209)","91,145","(+/-6,431)","72,827","(+/-5,755)","73,199","(+/-4,272)","87,274","(+/-5,474)"
Education,"Educational Attainment","Associate's degree","61,775","(+/-5,063)","46,992","(+/-3,612)","58,241","(+/-4,854)","60,794","(+/-5,464)","63,304","(+/-5,032)","67,105","(+/-4,772)","61,919","(+/-5,205)","68,523","(+/-4,901)","71,980","(+/-7,212)","57,624","(+/-5,726)","59,570","(+/-7,059)","60,937","(+/-4,178)","62,333","(+/-4,332)","46,256","(+/-4,219)","52,213","(+/-5,024)","68,930","(+/-6,568)","70,262","(+/-4,949)","58,406","(+/-4,609)","66,131","(+/-4,931)","55,826","(+/-4,980)","71,046","(+/-5,107)","47,581","(+/-3,717)","53,724","(+/-4,438)","50,418","(+/-4,246)","55,613","(+/-5,440)","62,872","(+/-4,972)","45,950","(+/-3,654)","47,344","(+/-4,705)"
Education,"Educational Attainment","Bachelor's degree","115,740","(+/-5,157)","106,810","(+/-6,014)","89,161","(+/-5,847)","107,211","(+/-6,369)","175,981","(+/-7,430)","106,975","(+/-5,411)","142,729","(+/-7,418)","124,116","(+/-7,044)","139,663","(+/-8,699)","123,654","(+/-6,585)","162,238","(+/-9,284)","100,488","(+/-6,289)","136,823","(+/-6,325)","150,403","(+/-7,902)","116,820","(+/-7,751)","139,103","(+/-7,249)","136,814","(+/-6,747)","86,738","(+/-5,660)","142,074","(+/-6,067)","95,765","(+/-6,662)","136,312","(+/-6,795)","145,184","(+/-8,283)","151,704","(+/-6,922)","111,078","(+/-6,989)","138,108","(+/-6,472)","125,157","(+/-6,957)","136,679","(+/-7,309)","106,652","(+/-6,607)"
Education,"Educational Attainment","Graduate or professional degree","70,199","(+/-4,753)","68,725","(+/-5,168)","77,358","(+/-5,438)","56,792","(+/-4,533)","92,937","(+/-6,738)","57,785","(+/-4,679)","75,538","(+/-5,752)","80,882","(+/-5,496)","64,840","(+/-6,309)","70,915","(+/-4,849)","86,728","(+/-7,307)","54,467","(+/-4,784)","77,952","(+/-4,724)","91,461","(+/-6,075)","73,856","(+/-5,323)","92,835","(+/-6,801)","91,252","(+/-5,193)","52,945","(+/-4,533)","99,691","(+/-5,681)","50,003","(+/-3,934)","87,643","(+/-6,146)","90,778","(+/-5,894)","103,880","(+/-5,746)","75,840","(+/-5,109)","96,842","(+/-7,697)","65,444","(+/-4,592)","115,260","(+/-6,470)","60,866","(+/-4,106)"
Education,"Educational Attainment","Percent high school graduate or higher",92.0,(+/-0.9),89.7,(+/-0.8),89.5,(+/-0.8),91.1,(+/-0.9),94.5,(+/-0.7),91.2,(+/-0.7),93.2,(+/-0.7),93.5,(+/-0.6),91.4,(+/-1.0),89.9,(+/-1.0),92.5,(+/-0.7),91.0,(+/-0.8),92.6,(+/-0.7),90.6,(+/-0.9),89.5,(+/-1.0),91.1,(+/-1.0),92.5,(+/-0.7),85.5,(+/-1.2),92.7,(+/-0.8),85.1,(+/-1.2),91.8,(+/-0.8),88.3,(+/-1.0),92.7,(+/-0.7),86.8,(+/-1.0),92.7,(+/-0.8),82.5,(+/-1.0),86.7,(+/-1.0),84.2,(+/-1.1)
Education,"Educational Attainment","Percent bachelor's degree or higher",33.3,(+/-1.1),32.1,(+/-1.1),29.6,(+/-1.4),29.1,(+/-1.3),45.8,(+/-1.5),27.1,(+/-1.1),37.2,(+/-1.3),33.1,(+/-1.3),34.9,(+/-1.7),37.0,(+/-1.4),39.2,(+/-1.6),24.4,(+/-1.1),35.3,(+/-1.3),41.7,(+/-1.4),34.3,(+/-1.3),37.5,(+/-1.4),34.0,(+/-1.1),23.3,(+/-1.2),37.8,(+/-1.2),25.9,(+/-1.2),36.0,(+/-1.2),40.7,(+/-1.6),44.2,(+/-1.2),34.6,(+/-1.3),42.3,(+/-1.7),31.9,(+/-1.4),45.2,(+/-1.2),31.0,(+/-1.3)

"Source: 2023 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag","District 07 Estimate","District 07 Flag","District 08 Estimate","District 08 Flag","District 09 Estimate","District 09 Flag","District 10 Estimate","District 10 Flag","District 11 Estimate","District 11 Flag","District 12 Estimate","District 12 Flag","District 13 Estimate","District 13 Flag","District 14 Estimate","District 14 Flag","District 15 Estimate","District 15 Flag","District 16 Estimate","District 16 Flag","District 17 Estimate","District 17 Flag","District 18 Estimate","District 18 Flag","District 19 Estimate","District 19 Flag","District 20 Estimate","District 20 Flag","District 21 Estimate","District 21 Flag","District 22 Estimate","District 22 Flag","District 23 Estimate","District 23 Flag","District 24 Estimate","District 24 Flag","District 25 Estimate","District 25 Flag","District 26 Estimate","District 26 Flag","District 27 Estimate","District 27 Flag","District 28 Estimate","District 28 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","225,819",G,"220,478",G,"230,358",G,"260,453",G,"375,408",G,"193,441",G,"245,052",G,"244,148",G,"262,514",G,"495,009",G,"261,417",G,"155,753",G,"321,373",G,"484,745",G,"287,830",G,"192,370",G,"219,034",G,"199,342",G,"341,046",G,"303,027",G,"261,822",G,"209,769",G,"367,540",G,"228,006",G,"306,592",G,"344,267",G,"366,252",G,"153,876",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",161,G,852,G,983,G,301,H,100,H,231,G,59,H,664,G,36,J,0,N,342,J,124,G,75,J,48,H,57,H,"1,206",J,135,G,982,H,215,H,141,G,249,G,437,G,40,J,2,J,89,G,137,H,21,J,187,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",85,G,200,H,156,H,48,H,10,J,92,H,39,J,81,J,93,H,21,J,351,H,151,J,0,N,25,H,0,N,120,J,131,J,"1,001",J,278,G,33,G,107,J,4,J,52,J,3,G,40,J,598,H,0,N,89,G
Business,"Paid employees for pay period including March 12",Utilities,"2,381",H,"1,278",H,716,H,490,G,318,H,690,G,870,H,511,J,134,J,"1,044",H,998,G,"1,863",H,559,J,"2,735",J,378,H,526,G,805,J,761,G,843,J,"1,561",J,"5,601",J,224,J,85,J,588,H,387,J,519,J,"1,511",J,"1,005",H
Business,"Paid employees for pay period including March 12",Construction,"15,771",G,"16,459",G,"14,439",G,"17,984",G,"27,944",G,"15,112",G,"24,974",G,"15,998",G,"14,417",G,"25,075",G,"20,491",G,"13,052",G,"17,083",G,"31,914",G,"18,531",G,"13,466",G,"23,605",G,"13,878",G,"35,521",G,"24,173",G,"19,674",G,"14,639",G,"23,720",G,"5,745",G,"13,573",G,"21,856",G,"10,683",G,"12,034",G
Business,"Paid employees for pay period including March 12",Manufacturing,"7,737",G,"10,715",G,"17,289",G,"17,303",G,"10,781",G,"13,446",G,"11,342",G,"20,091",G,"8,623",G,"21,407",G,"8,532",G,"5,485",G,"28,150",G,"20,822",G,"17,852",G,"10,295",G,"8,883",H,"14,675",G,"7,410",G,"15,186",G,"13,168",G,"3,290",G,"10,085",G,"8,589",G,"7,523",G,"27,937",G,"2,955",G,"3,780",H
